name,ranking,categories,mechanics,yearpublished,playingtime,minage,usersrate,average,bayesaverage,stddev,numcomments,numweights,averageweight,recom_plyrs_int,avgprice,numcat,nummech,langdep
Gloomhaven,1,"Adventure, Exploration, Fantasy, Fighting, Miniatures","Action Queue, Action Retrieval, Campaign / Battle Card Driven, Card Play Conflict Resolution, Communication Limits, Cooperative Game, Critical Hits and Failures, Deck Construction, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Line of Sight, Modular Board, Once-Per-Game Abilities, Role Playing, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Storytelling, Variable Player Powers",2017,120,14,52915,8.68839,8.4573,1.6666,9323,2259,3.8884,3,116.46,5,21,4
Brass: Birmingham,2,"Economic, Industry / Manufacturing, Post-Napoleonic, Transportation","Hand Management, Income, Loans, Market, Network and Route Building, Tech Trees / Tech Tracks, Turn Order: Stat-Based, Variable Set-up",2018,120,14,31679,8.65539,8.43143,1.25401,4555,1528,3.9116,3,86.12,4,8,1
Pandemic Legacy: Season 1,3,"Environmental, Medical","Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Set Collection, Trading, Variable Player Powers",2015,60,13,48019,8.5694,8.41822,1.56725,7200,1314,2.8311,4,67.99,2,8,4
Ark Nova,4,"Animals, Economic, Environmental","End Game Bonuses, Hand Management, Hexagon Grid, Income, Open Drafting, Set Collection, Solo / Solitaire Game, Tags, Tile Placement, Variable Player Powers, Variable Set-up",2021,150,14,19214,8.60223,8.2777,1.33128,2653,1155,3.7022,2,64.03,3,11,4
Terraforming Mars,5,"Economic, Environmental, Industry / Manufacturing, Science Fiction, Space Exploration, Territory Building","Closed Drafting, Contracts, Enclosure, End Game Bonuses, Hand Management, Hexagon Grid, Income, Set Collection, Solo / Solitaire Game, Tags, Take That, Tech Trees / Tech Tracks, Tile Placement, Turn Order: Progressive, Variable Player Powers, Variable Set-up, Victory Points as a Resource",2016,120,12,82913,8.3965,8.25101,1.39464,11985,3404,3.2497,3,48.73,6,17,3
Twilight Imperium: Fourth Edition,6,"Civilization, Economic, Exploration, Negotiation, Political, Science Fiction, Space Exploration, Wargame","Action Drafting, Area Majority / Influence, Area-Impulse, Dice Rolling, Follow, Grid Movement, Hexagon Grid, Increase Value of Unchosen Resources, King of the Hill, Modular Board, Race, Tech Trees / Tech Tracks, Trading, Variable Phase Order, Variable Player Powers, Variable Set-up, Voting",2017,480,14,18570,8.6417,8.24835,1.61594,2829,863,4.2781,6,142.15,8,17,4
Gloomhaven: Jaws of the Lion,7,"Adventure, Exploration, Fantasy, Fighting, Miniatures","Action Queue, Action Retrieval, Campaign / Battle Card Driven, Communication Limits, Cooperative Game, Critical Hits and Failures, Deck Construction, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Line of Sight, Once-Per-Game Abilities, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers",2020,120,14,23328,8.5745,8.24657,1.44441,3418,735,3.619,2,43.06,5,17,4
Star Wars: Rebellion,8,"Civil War, Miniatures, Movies / TV / Radio theme, Science Fiction, Space Exploration, Wargame","Area Majority / Influence, Area Movement, Area-Impulse, Card Play Conflict Resolution, Contracts, Delayed Purchase, Dice Rolling, Die Icon Resolution, Events, Hand Management, Hidden Movement, Income, Once-Per-Game Abilities, Simulation, Take That, Team-Based Game, Variable Player Powers, Variable Set-up",2016,240,14,28000,8.41782,8.16826,1.36531,4271,971,3.7322,2,80.94,6,18,4
Gaia Project,9,"Civilization, Economic, Miniatures, Science Fiction, Space Exploration, Territory Building","Contracts, End Game Bonuses, Hexagon Grid, Income, Modular Board, Network and Route Building, Solo / Solitaire Game, Tech Trees / Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource",2017,150,12,22235,8.43893,8.16061,1.3977,3164,1386,4.3831,3,91.04,6,12,1
War of the Ring: Second Edition,10,"Adventure, Fantasy, Fighting, Novel-based, Territory Building, Wargame","Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Card Play Conflict Resolution, Dice Rolling, Events, Hand Management, Hidden Movement, Movement Points, Simulation, Team-Based Game, Variable Set-up",2011,180,13,17465,8.52126,8.15758,1.48457,3098,953,4.1889,2,121.97,6,12,4
Spirit Island,11,"Fantasy, Fighting, Mythology, Territory Building","Action Retrieval, Area Majority / Influence, Automatic Resource Growth, Campaign / Battle Card Driven, Cooperative Game, Hand Management, Modular Board, Set Collection, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers, Variable Set-up",2017,120,13,39027,8.36897,8.15405,1.48664,6195,2188,4.0585,2,86.79,4,12,4
Through the Ages: A New Story of Civilization,12,"Card Game, Civilization, Economic","Action Points, Auction/Bidding, Auction: Dutch, Events, Income, Open Drafting, Take That",2015,120,14,27845,8.34537,8.11707,1.51244,4101,1373,4.4246,3,63.16,3,7,4
Great Western Trail,13,"American West, Animals, Economic","Deck Bag and Pool Building, Hand Management, Ownership, Set Collection, Track Movement, Variable Set-up",2016,150,12,36254,8.26845,8.10278,1.27804,4716,1424,3.7029,3,60.73,3,6,1
Twilight Struggle,14,"Modern Warfare, Political, Wargame","Action/Event, Advantage Token, Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Events, Hand Management, Simulation, Simultaneous Action Selection, Sudden Death Ending, Tug of War",2005,180,13,45079,8.2651,8.09536,1.5799,9486,3744,3.5994,2,176.24,3,11,4
Dune: Imperium,15,"Movies / TV / Radio theme, Novel-based, Political, Science Fiction","Card Play Conflict Resolution, Deck Bag and Pool Building, Force Commitment, Increase Value of Unchosen Resources, Open Drafting, Solo / Solitaire Game, Take That, Turn Order: Progressive, Variable Player Powers, Worker Placement",2020,120,14,25802,8.3442,8.08742,1.25829,3577,892,3.0022,3,35.24,4,10,3
Scythe,16,"Economic, Fighting, Science Fiction, Territory Building","Card Play Conflict Resolution, Contracts, End Game Bonuses, Force Commitment, Grid Movement, Hexagon Grid, King of the Hill, Movement Points, Narrative Choice / Paragraph, Solo / Solitaire Game, Take That, Tech Trees / Tech Tracks, Variable Player Powers, Variable Set-up, Victory Points as a Resource, Zone of Control",2016,115,14,71303,8.19269,8.03873,1.4391,10767,2819,3.4328,4,80.52,4,16,3
The Castles of Burgundy,17,"Dice, Medieval, Territory Building","Dice Rolling, End Game Bonuses, Grid Coverage, Hexagon Grid, Pattern Building, Set Collection, Tile Placement, Turn Order: Stat-Based, Variable Set-up, Worker Placement with Dice Workers",2011,90,12,54687,8.12696,8.00535,1.23676,8756,2691,2.9952,2,35.36,3,10,1
7 Wonders Duel,18,"Ancient, Card Game, City Building, Civilization, Economic","Layering, Open Drafting, Set Collection, Sudden Death Ending, Tug of War, Variable Player Powers",2015,30,10,78098,8.10084,7.97781,1.18563,10501,2447,2.2227,2,31.13,5,6,1
Nemesis,19,"Adventure, Horror, Miniatures, Science Fiction","Campaign / Battle Card Driven, Cooperative Game, Dice Rolling, Hand Management, Hidden Roles, Modular Board, Player Elimination, Semi-Cooperative Game, Solo / Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers",2018,180,12,22521,8.33789,7.97661,1.50596,3625,801,3.4045,4,124.98,4,12,3
Brass: Lancashire,20,"Economic, Industry / Manufacturing, Post-Napoleonic, Transportation","Hand Management, Income, Loans, Market, Network and Route Building, Tech Trees / Tech Tracks, Turn Order: Stat-Based",2007,120,14,22275,8.1861,7.96502,1.36497,4755,1552,3.8621,4,67.12,4,7,1
Concordia,21,"Ancient, Economic, Nautical","Action Retrieval, Advantage Token, Auction: Dutch, Deck Bag and Pool Building, End Game Bonuses, Hand Management, Hidden Victory Points, Movement Points, Open Drafting, Point to Point Movement, Set Collection, Variable Set-up",2013,100,13,34790,8.11572,7.96351,1.18613,5462,1403,3.0057,4,37.24,3,12,3
A Feast for Odin,22,"Economic, Farming, Industry / Manufacturing, Medieval, Puzzle","Automatic Resource Growth, Dice Rolling, Grid Coverage, Income, Push Your Luck, Solo / Solitaire Game, Tile Placement, Turn Order: Pass Order, Worker Placement",2016,120,12,23431,8.19455,7.95524,1.3571,3641,861,3.8513,3,81.14,5,9,3
Terra Mystica,23,"Civilization, Economic, Fantasy, Territory Building","End Game Bonuses, Hexagon Grid, Income, Increase Value of Unchosen Resources, Network and Route Building, Tech Trees / Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource",2012,150,12,44097,8.10271,7.9434,1.46806,6480,2789,3.9706,4,70.17,4,10,1
Wingspan,24,"Animals, Card Game, Educational","Contracts, Dice Rolling, End Game Bonuses, Hand Management, Once-Per-Game Abilities, Open Drafting, Set Collection, Solo / Solitaire Game, Turn Order: Progressive",2019,70,10,68680,8.08091,7.92987,1.34555,9410,2319,2.4442,3,44.39,3,9,4
Clank!: Legacy – Acquisitions Incorporated,25,"Adventure, Fantasy, Miniatures","Deck Bag and Pool Building, Delayed Purchase, End Game Bonuses, Events, Legacy Game, Map Addition, Movement Points, Narrative Choice / Paragraph, Once-Per-Game Abilities, Open Drafting, Pick-up and Deliver, Player Elimination, Point to Point Movement, Push Your Luck, Scenario / Mission / Campaign Game, Set Collection, Variable Player Powers, Variable Set-up",2019,120,13,6736,8.63065,7.92607,1.38054,1090,104,2.7308,4,72.5,3,18,4
Arkham Horror: The Card Game,26,"Adventure, Card Game, Collectible Components, Exploration, Horror, Novel-based","Action Points, Area Movement, Communication Limits, Cooperative Game, Deck Construction, Events, Hand Management, Map Deformation, Modular Board, Push Your Luck, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Stat Check Resolution, Variable Player Powers",2016,120,14,37128,8.15016,7.91992,1.52053,5839,1203,3.5121,2,34.22,6,15,4
