game_id,name,ranking,expansion,accessory,categories,mechanics,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,usersrate,average,bayesaverage,stddev,numcomments,numweights,averageweight,votes_suggested_players,recom_plyrs_int,votes_best_players
174430,Gloomhaven,1,False,False,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Modular Board', 'Once-Per-Game Abilities', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']",2017,1,4,120,60,120,14,52915,8.68839,8.4573,1.6666,9323,2259,3.8884,1370,3,666
224517,Brass: Birmingham,2,False,False,"['Economic', 'Industry / Manufacturing', 'Post-Napoleonic', 'Transportation']","['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Set-up']",2018,2,4,120,60,120,14,31679,8.65539,8.43143,1.25401,4555,1528,3.9116,739,3,400
161936,Pandemic Legacy: Season 1,3,False,False,"['Environmental', 'Medical']","['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Set Collection', 'Trading', 'Variable Player Powers']",2015,2,4,60,60,60,13,48019,8.5694,8.41822,1.56725,7200,1314,2.8311,765,4,443
342942,Ark Nova,4,False,False,"['Animals', 'Economic', 'Environmental']","['End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Tile Placement', 'Variable Player Powers', 'Variable Set-up']",2021,1,4,150,90,150,14,19214,8.60223,8.2777,1.33128,2653,1155,3.7022,907,2,556
167791,Terraforming Mars,5,False,False,"['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Closed Drafting', 'Contracts', 'Enclosure', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Tech Trees / Tech Tracks', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",2016,1,5,120,120,120,12,82913,8.3965,8.25101,1.39464,11985,3404,3.2497,2156,3,1254
233078,Twilight Imperium: Fourth Edition,6,False,False,"['Civilization', 'Economic', 'Exploration', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","['Action Drafting', 'Area Majority / Influence', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Hexagon Grid', 'Increase Value of Unchosen Resources', 'King of the Hill', 'Modular Board', 'Race', 'Tech Trees / Tech Tracks', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Variable Set-up', 'Voting']",2017,3,6,480,240,480,14,18570,8.6417,8.24835,1.61594,2829,863,4.2781,431,6,314
291457,Gloomhaven: Jaws of the Lion,7,False,False,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']",2020,1,4,120,30,120,14,23328,8.5745,8.24657,1.44441,3418,735,3.619,539,2,247
187645,Star Wars: Rebellion,8,False,False,"['Civil War', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Area-Impulse', 'Card Play Conflict Resolution', 'Contracts', 'Delayed Purchase', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Hand Management', 'Hidden Movement', 'Income', 'Once-Per-Game Abilities', 'Simulation', 'Take That', 'Team-Based Game', 'Variable Player Powers', 'Variable Set-up']",2016,2,4,240,180,240,14,28000,8.41782,8.16826,1.36531,4271,971,3.7322,573,2,539
220308,Gaia Project,9,False,False,"['Civilization', 'Economic', 'Miniatures', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Contracts', 'End Game Bonuses', 'Hexagon Grid', 'Income', 'Modular Board', 'Network and Route Building', 'Solo / Solitaire Game', 'Tech Trees / Tech Tracks', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",2017,1,4,150,60,150,12,22235,8.43893,8.16061,1.3977,3164,1386,4.3831,582,3,293
115746,War of the Ring: Second Edition,10,False,False,"['Adventure', 'Fantasy', 'Fighting', 'Novel-based', 'Territory Building', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Dice Rolling', 'Events', 'Hand Management', 'Hidden Movement', 'Movement Points', 'Simulation', 'Team-Based Game', 'Variable Set-up']",2011,2,4,180,150,180,13,17465,8.52126,8.15758,1.48457,3098,953,4.1889,385,2,350
162886,Spirit Island,11,False,False,"['Fantasy', 'Fighting', 'Mythology', 'Territory Building']","['Action Retrieval', 'Area Majority / Influence', 'Automatic Resource Growth', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Hand Management', 'Modular Board', 'Set Collection', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers', 'Variable Set-up']",2017,1,4,120,90,120,13,39027,8.36897,8.15405,1.48664,6195,2188,4.0585,1359,2,870
182028,Through the Ages: A New Story of Civilization,12,False,False,"['Card Game', 'Civilization', 'Economic']","['Action Points', 'Auction/Bidding', 'Auction: Dutch', 'Events', 'Income', 'Open Drafting', 'Take That']",2015,2,4,120,120,120,14,27845,8.34537,8.11707,1.51244,4101,1373,4.4246,641,3,410
193738,Great Western Trail,13,False,False,"['American West', 'Animals', 'Economic']","['Deck, Bag, and Pool Building', 'Hand Management', 'Ownership', 'Set Collection', 'Track Movement', 'Variable Set-up']",2016,2,4,150,75,150,12,36254,8.26845,8.10278,1.27804,4716,1424,3.7029,789,3,494
12333,Twilight Struggle,14,False,False,"['Modern Warfare', 'Political', 'Wargame']","['Action/Event', 'Advantage Token', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Events', 'Hand Management', 'Simulation', 'Simultaneous Action Selection', 'Sudden Death Ending', 'Tug of War']",2005,2,2,180,120,180,13,45079,8.2651,8.09536,1.5799,9486,3744,3.5994,833,2,778
316554,Dune: Imperium,15,False,False,"['Movies / TV / Radio theme', 'Novel-based', 'Political', 'Science Fiction']","['Card Play Conflict Resolution', 'Deck, Bag, and Pool Building', 'Force Commitment', 'Increase Value of Unchosen Resources', 'Open Drafting', 'Solo / Solitaire Game', 'Take That', 'Turn Order: Progressive', 'Variable Player Powers', 'Worker Placement']",2020,1,4,120,60,120,14,25802,8.3442,8.08742,1.25829,3577,892,3.0022,755,3,441
169786,Scythe,16,False,False,"['Economic', 'Fighting', 'Science Fiction', 'Territory Building']","['Card Play Conflict Resolution', 'Contracts', 'End Game Bonuses', 'Force Commitment', 'Grid Movement', 'Hexagon Grid', 'King of the Hill', 'Movement Points', 'Narrative Choice / Paragraph', 'Solo / Solitaire Game', 'Take That', 'Tech Trees / Tech Tracks', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource', 'Zone of Control']",2016,1,5,115,90,115,14,71303,8.19269,8.03873,1.4391,10767,2819,3.4328,1272,4,784
84876,The Castles of Burgundy,17,False,False,"['Dice', 'Medieval', 'Territory Building']","['Dice Rolling', 'End Game Bonuses', 'Grid Coverage', 'Hexagon Grid', 'Pattern Building', 'Set Collection', 'Tile Placement', 'Turn Order: Stat-Based', 'Variable Set-up', 'Worker Placement with Dice Workers']",2011,2,4,90,30,90,12,54687,8.12696,8.00535,1.23676,8756,2691,2.9952,1352,2,874
173346,7 Wonders Duel,18,False,False,"['Ancient', 'Card Game', 'City Building', 'Civilization', 'Economic']","['Layering', 'Open Drafting', 'Set Collection', 'Sudden Death Ending', 'Tug of War', 'Variable Player Powers']",2015,2,2,30,30,30,10,78098,8.10084,7.97781,1.18563,10501,2447,2.2227,1042,2,1006
167355,Nemesis,19,False,False,"['Adventure', 'Horror', 'Miniatures', 'Science Fiction']","['Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Hidden Roles', 'Modular Board', 'Player Elimination', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers']",2018,1,5,180,90,180,12,22521,8.33789,7.97661,1.50596,3625,801,3.4045,546,4,290
28720,Brass: Lancashire,20,False,False,"['Economic', 'Industry / Manufacturing', 'Post-Napoleonic', 'Transportation']","['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based']",2007,2,4,120,60,120,14,22275,8.1861,7.96502,1.36497,4755,1552,3.8621,551,4,373
124361,Concordia,21,False,False,"['Ancient', 'Economic', 'Nautical']","['Action Retrieval', 'Advantage Token', 'Auction: Dutch', 'Deck, Bag, and Pool Building', 'End Game Bonuses', 'Hand Management', 'Hidden Victory Points', 'Movement Points', 'Open Drafting', 'Point to Point Movement', 'Set Collection', 'Variable Set-up']",2013,2,5,100,100,100,13,34790,8.11572,7.96351,1.18613,5462,1403,3.0057,580,4,325
177736,A Feast for Odin,22,False,False,"['Economic', 'Farming', 'Industry / Manufacturing', 'Medieval', 'Puzzle']","['Automatic Resource Growth', 'Dice Rolling', 'Grid Coverage', 'Income', 'Push Your Luck', 'Solo / Solitaire Game', 'Tile Placement', 'Turn Order: Pass Order', 'Worker Placement']",2016,1,4,120,30,120,12,23431,8.19455,7.95524,1.3571,3641,861,3.8513,496,3,203
120677,Terra Mystica,23,False,False,"['Civilization', 'Economic', 'Fantasy', 'Territory Building']","['End Game Bonuses', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",2012,2,5,150,60,150,12,44097,8.10271,7.9434,1.46806,6480,2789,3.9706,968,4,698
266192,Wingspan,24,False,False,"['Animals', 'Card Game', 'Educational']","['Contracts', 'Dice Rolling', 'End Game Bonuses', 'Hand Management', 'Once-Per-Game Abilities', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Turn Order: Progressive']",2019,1,5,70,40,70,10,68680,8.08091,7.92987,1.34555,9410,2319,2.4442,1389,3,774
266507,Clank!: Legacy – Acquisitions Incorporated,25,False,False,"['Adventure', 'Fantasy', 'Miniatures']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'End Game Bonuses', 'Events', 'Legacy Game', 'Map Addition', 'Movement Points', 'Narrative Choice / Paragraph', 'Once-Per-Game Abilities', 'Open Drafting', 'Pick-up and Deliver', 'Player Elimination', 'Point to Point Movement', 'Push Your Luck', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Variable Player Powers', 'Variable Set-up']",2019,2,4,120,90,120,13,6736,8.63065,7.92607,1.38054,1090,104,2.7308,98,4,52
205637,Arkham Horror: The Card Game,26,False,False,"['Adventure', 'Card Game', 'Collectible Components', 'Exploration', 'Horror', 'Novel-based']","['Action Points', 'Area Movement', 'Communication Limits', 'Cooperative Game', 'Deck Construction', 'Events', 'Hand Management', 'Map Deformation', 'Modular Board', 'Push Your Luck', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']",2016,1,2,120,60,120,14,37128,8.15016,7.91992,1.52053,5839,1203,3.5121,878,2,607
